Date,SPY
2014-03-10,152.83660888671875
2014-03-11,152.08114624023438
2014-03-12,152.1217803955078
2014-03-13,150.4159698486328
2014-03-14,149.99363708496094
2014-03-17,151.35009765625
2014-03-18,152.43043518066406
2014-03-19,151.6181182861328
2014-03-20,152.50357055664062
2014-03-21,151.9120330810547
2014-03-24,151.2838134765625
2014-03-25,152.0017547607422
2014-03-26,150.90855407714844
2014-03-27,150.59033203125
2014-03-28,151.33277893066406
2014-03-31,152.57286071777344
2014-04-01,153.58453369140625
2014-04-02,154.0985565185547
2014-04-03,153.89459228515625
2014-04-04,152.0751953125
2014-04-07,150.39450073242188
2014-04-08,151.01458740234375
2014-04-09,152.63816833496094
2014-04-10,149.4318389892578
2014-04-11,148.0857391357422
2014-04-14,149.2523651123047
2014-04-15,150.28033447265625
2014-04-16,151.85491943359375
2014-04-17,152.06707763671875
2014-04-21,152.5972900390625
2014-04-22,153.290771484375
2014-04-23,152.9318084716797
2014-04-24,153.24191284179688
2014-04-25,151.98544311523438
2014-04-28,152.46681213378906
2014-04-29,153.17662048339844
2014-04-30,153.6334686279297
2014-05-01,153.6498260498047
2014-05-02,153.42955017089844
2014-05-05,153.72320556640625
2014-05-06,152.38519287109375
2014-05-07,153.28265380859375
2014-05-08,153.1195068359375
2014-05-09,153.34793090820312
2014-05-12,154.84097290039062
2014-05-13,154.97964477539062
2014-05-14,154.24539184570312
2014-05-15,152.8910369873047
2014-05-16,153.42140197753906
2014-05-19,153.9842529296875
2014-05-20,153.013427734375
2014-05-21,154.3025360107422
2014-05-22,154.6777801513672
2014-05-23,155.29779052734375
2014-05-27,156.25241088867188
2014-05-28,156.13818359375
2014-05-29,156.94578552246094
2014-05-30,157.1987762451172
2014-06-02,157.37823486328125
2014-06-03,157.29664611816406
2014-06-04,157.6148681640625
2014-06-05,158.64279174804688
2014-06-06,159.4015350341797
2014-06-09,159.5647430419922
2014-06-10,159.58106994628906
2014-06-11,159.0262451171875
2014-06-12,157.90040588378906
2014-06-13,158.38174438476562
2014-06-16,158.51229858398438
2014-06-17,158.9528350830078
2014-06-18,160.11947631835938
2014-06-19,160.29901123046875
2014-06-20,160.62448120117188
2014-06-23,160.5752716064453
2014-06-24,159.60797119140625
2014-06-25,160.329345703125
2014-06-26,160.21458435058594
2014-06-27,160.52615356445312
2014-06-30,160.44412231445312
2014-07-01,161.5179901123047
2014-07-02,161.6819610595703
2014-07-03,162.47711181640625
2014-07-07,161.91146850585938
2014-07-08,160.87037658691406
2014-07-09,161.5917510986328
2014-07-10,160.95233154296875
2014-07-11,161.17372131347656
2014-07-14,161.9852752685547
2014-07-15,161.6819610595703
2014-07-16,162.28036499023438
2014-07-17,160.43589782714844
2014-07-18,162.07550048828125
2014-07-21,161.7721405029297
2014-07-22,162.47711181640625
2014-07-23,162.8378448486328
2014-07-24,162.84596252441406
2014-07-25,162.0836639404297
2014-07-28,162.1492156982422
2014-07-29,161.4524383544922
2014-07-30,161.47691345214844
2014-07-31,158.2881317138672
2014-08-01,157.80445861816406
2014-08-04,158.9439697265625
2014-08-05,157.40277099609375
2014-08-06,157.45201110839844
2014-08-07,156.59942626953125
2014-08-08,158.41107177734375
2014-08-11,158.87013244628906
2014-08-12,158.6488037109375
2014-08-13,159.7227325439453
2014-08-14,160.4768829345703
2014-08-15,160.44412231445312
2014-08-18,161.7885284423828
2014-08-19,162.63284301757812
2014-08-20,163.0673370361328
2014-08-21,163.54278564453125
2014-08-22,163.28863525390625
2014-08-25,164.11659240722656
2014-08-26,164.2231903076172
2014-08-27,164.15760803222656
